id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,timestamp,rsi,ema20,ema50,volume_avg,EMA_bullish,Volume_surge,RSI_momentum,RSI_overbought,Price_dropping_below_ema20,Volume_high,signal
cat-in-a-dogs-world,mew,0.0027615,245467743,35622397.0,-14.21204,2025-06-13 01:30:46.466240,48.14645536878379,15412.209374639786,11328.580824751709,16285571.967142856,False,True,False,False,True,True,strong
plume,plume,0.09966,243843891,35594443.0,-7.7939,2025-06-13 01:30:46.466240,48.14646844139569,13944.389401816949,10884.326661428113,21096242.824285712,False,True,False,False,True,True,strong
mantra-dao,om,0.248581,241161224,80978231.0,-14.38063,2025-06-13 01:30:46.466240,48.14632968536004,10330.542077043998,9654.662657113164,35572119.14285714,False,True,False,False,True,True,strong
berachain-bera,bera,1.96,235032627,77416474.0,-15.52838,2025-06-13 01:30:46.466240,48.146640337259285,8457.929364655063,8912.89296414022,38393868.14285714,False,True,False,False,True,True,strong
peanut-the-squirrel,pnut,0.217832,218751403,149992912.0,-18.39734,2025-06-13 01:30:46.466240,48.14389620671875,3802.089409201333,6404.8290822649415,29041354.42857143,False,True,False,False,True,True,strong
bnb48-club-token,koge,63.55,215305384,6435159734.0,-0.08123,2025-06-13 01:30:46.466240,48.17669469705241,2311.4126201922086,5246.296626227279,946130377.4285715,False,True,False,False,True,True,strong
notcoin,not,0.00197478,202442314,33643896.0,-14.40009,2025-06-13 01:30:46.466240,48.14400626389329,1062.5677906825072,3621.529400078772,21152915.85714286,False,True,False,False,True,True,strong
mocaverse,moca,0.073769,197181075,31870109.0,-11.49985,2025-06-13 01:30:46.466240,48.14410521910228,644.2344011829246,2964.9896337838813,15099691.397142857,False,True,False,False,True,True,strong
euro-coin,eurc,1.15,194352195,55577670.0,0.08342,2025-06-13 01:30:46.466240,48.1458420889552,527.5129790318272,2737.0624606924644,16575239.825714286,False,True,False,False,True,True,strong
arkham,arkm,0.45704,193823615,71235946.0,-13.90703,2025-06-13 01:30:46.466240,48.14469692161017,477.3171753145103,2629.744601057466,26484289.397142857,False,True,False,False,True,True,strong
blur,blur,0.078614,187124980,26332082.0,-11.73551,2025-06-13 01:30:46.466240,48.14517573467683,543.7296073674893,2011.259365885558,11758491.285714285,False,True,False,False,True,True,strong
basic-attention-token,bat,0.123733,185401431,15008827.0,-9.20431,2025-06-13 01:30:46.466240,48.145327325932925,404.3122225953709,1784.544583044984,8528616.857142856,False,True,False,False,True,True,strong
zksync,zk,0.04845783,178357689,30128792.0,-11.199,2025-06-13 01:30:46.466240,48.14511827361894,365.81091166533554,1714.5643428404749,12832730.0,False,True,False,False,True,True,strong
ai16z,ai16z,0.158638,175192039,93710170.0,-20.9053,2025-06-13 01:30:46.466240,48.14542556786699,271.19003391108265,1520.7762233359495,23993627.14285714,False,True,False,False,True,True,strong
nervos-network,ckb,0.00363137,169227313,14337701.0,-12.62316,2025-06-13 01:30:46.466240,48.146113095399244,427.04048281371144,1241.5013180801539,6947991.638571428,False,True,False,False,True,True,strong
neiro-3,neiro,0.00039663,166988899,126871743.0,-18.92731,2025-06-13 01:30:46.466240,48.14610126861845,349.5731199107706,1146.0380628819491,22698417.03857143,False,True,False,False,True,True,strong
ben-pasternak,launchcoin,0.16504,165548621,87708830.0,-14.09468,2025-06-13 01:30:46.466240,48.14680894414693,286.19053481131107,1057.9287912431987,36220506.89571428,False,True,False,False,True,True,strong
celo,celo,0.282877,162074988,27927586.0,-12.47734,2025-06-13 01:30:46.466240,48.147362996793596,142.23990474750082,799.6356638328841,12817272.0,False,True,False,False,True,True,strong
subsquid,sqd,0.228025,161148239,59166658.0,-6.43151,2025-06-13 01:30:46.466240,48.14693658099612,128.7149638191674,768.2863446629672,20451830.42857143,False,True,False,False,True,True,strong
kinesis-gold,kau,110.24,158190927,131730486.0,1.66493,2025-06-13 01:30:46.466240,49.253581953693825,109.58134812524472,664.6212164231879,39002749.85714286,False,True,False,False,False,True,strong
ordinals,ordi,7.48,157184711,75856650.0,-18.02994,2025-06-13 01:30:46.466240,48.14966579128612,90.43096018869238,613.8164637839578,41783733.428571425,False,True,False,False,True,True,strong
moo-deng,moodeng,0.155972,154891506,130778035.0,-15.07322,2025-06-13 01:30:46.466240,48.05889240554925,54.97796891806466,502.6137698870249,31082687.714285713,False,True,False,False,True,True,strong
sui-bridged-usdt-sui,sbusdt,1.0,152974096,67565903.0,0.00529,2025-06-13 01:30:46.466240,48.072777335380465,38.09025648981131,428.856295418963,32337675.285714287,False,True,False,False,True,True,strong
lagrange,la,0.782002,152081264,178811299.0,-9.63169,2025-06-13 01:30:46.466240,48.070010229025726,28.49251842906984,380.4818480817603,42172376.14285714,False,True,False,False,True,True,strong
aixbt,aixbt,0.159789,150796381,100884059.0,-13.11149,2025-06-13 01:30:46.466240,48.0518457791338,23.35014753944266,351.23639556951423,55163297.71428572,False,True,False,False,True,True,strong
bridged-wrapped-ether-starkgate,eth,2497.79,148392085,616540.0,-9.84567,2025-06-13 01:30:46.466240,84.23997628855021,253.77131966983055,386.3719773131704,21932482.0,False,False,True,True,False,False,strong
bora,bora,0.125547,144677759,53908764.0,0.92558,2025-06-13 01:30:46.466240,48.0955718369904,174.25644879481075,331.3042286033963,10977745.857142856,False,True,False,False,True,True,strong
solayer,layer,0.678617,142578326,53603713.0,-11.57852,2025-06-13 01:30:46.466240,48.104948563771174,142.31802207943062,299.63416963758266,18071091.714285713,False,True,False,False,True,True,strong
mask-network,mask,1.4,140588740,105588128.0,-13.11319,2025-06-13 01:30:46.466240,48.11988837317105,87.06524441836088,245.68842056171417,27430764.714285713,False,True,False,False,True,True,strong
stepn,gmt,0.04687272,137734302,30125226.0,-11.51493,2025-06-13 01:30:46.466240,48.09655555478801,46.26569124502948,187.23644639218026,11958482.732857142,False,True,False,False,True,True,strong
anime,anime,0.02455136,137418815,222770846.0,-20.70025,2025-06-13 01:30:46.466240,48.0958902797693,41.86177316074096,179.89480344974183,43781576.571428575,False,True,False,False,True,True,strong
crvusd,crvusd,1.0,132007025,14909263.0,0.03641,2025-06-13 01:30:46.466240,48.15060930419434,17.35247628732094,125.67537612629854,5918328.428571428,False,True,False,False,True,True,strong
purr-2,purr,0.219422,130979707,46981045.0,-24.16248,2025-06-13 01:30:46.466240,48.09835205731531,14.353060461956598,116.07612423038941,10330507.857142856,False,True,False,False,True,True,strong
agora-dollar,ausd,1.0,127697126,56033084.0,0.04221,2025-06-13 01:30:46.466240,48.16555233802684,10.818006499164271,103.02836891986706,18533507.714285713,False,True,False,False,True,True,strong
origin-ether,oeth,2498.51,126981213,169786.0,-9.58735,2025-06-13 01:30:46.466240,91.36574956167543,246.81365044489414,193.08902278992727,20393819.85714286,True,False,True,True,False,False,strong
aura-on-sol,aura,0.128294,125730389,60721243.0,64.23238,2025-06-13 01:30:46.466240,48.140521510296395,150.36519027430856,158.42014730002754,21511426.14285714,False,True,False,False,True,True,strong
resupply-usd,reusd,0.990649,122110578,37865523.0,-0.09427,2025-06-13 01:30:46.466240,48.155629689586945,83.3909048435686,124.15099607663105,11719106.272857143,False,True,False,False,True,True,strong
sushi,sushi,0.606125,117198346,49507808.0,-16.06181,2025-06-13 01:30:46.466240,48.14931009848688,68.334669266504,114.63432500499468,17675985.987142857,False,True,False,False,True,True,strong
ignition-fbtc,fbtc,103309.0,116272506,1587341.0,-5.05176,2025-06-13 01:30:46.466240,98.98755266389504,9900.778986479218,4161.472194612642,17902726.0,True,False,True,True,False,False,strong
orbs,orbs,0.02427115,113186554,64327464.0,18.71004,2025-06-13 01:30:46.466240,48.148014458585315,6002.705431721398,3407.073789424911,27015579.714285713,False,True,False,False,True,True,strong
io,io,0.671236,111241564,40693279.0,-14.80904,2025-06-13 01:30:46.466240,48.14827338252226,4447.568581625642,3022.5267236859836,22457607.42857143,False,True,False,False,True,True,strong
pocket-network,pokt,0.05453,109701301,35780095.0,-13.77615,2025-06-13 01:30:46.466240,48.147942650660035,3294.4958381201036,2680.910599543104,23312597.714285713,False,True,False,False,True,True,strong
book-of-meme,bome,0.00157089,108631286,52469370.0,-15.666,2025-06-13 01:30:46.466240,48.14791101514901,2208.530542045968,2284.890960386695,22857712.14285714,False,True,False,False,True,True,strong
tellor,trb,40.04,107503591,61072895.0,-12.12875,2025-06-13 01:30:46.466240,48.19319326332774,1215.601163751217,1799.0347213058037,22013988.57142857,False,True,False,False,True,True,strong
lorenzo-stbtc,stbtc,102842.0,105857376,7805.98,-4.69037,2025-06-13 01:30:46.466240,88.48231165380648,10461.466187627908,5448.231033611488,14959651.282857144,True,False,True,True,False,False,strong
sbtc-2,sbtc,105339.0,105338899,4170.02,-5.52307,2025-06-13 01:30:46.466240,66.3628729538257,17780.49461591122,8963.057139209897,2700839.714285714,True,False,False,False,False,False,strong
lift-dollar,usdl,1.0,105080491,1734837.0,-0.01071,2025-06-13 01:30:46.466240,48.14822778988844,16087.209414395866,8611.603918064411,453977.85714285716,False,True,False,False,True,True,strong
cookie,cookie,0.189755,103942784,43446032.0,-19.24023,2025-06-13 01:30:46.466240,48.14812241680132,13168.912853488906,7949.434972123549,6643295.0,False,True,False,False,True,True,strong
wrapped-zenbtc,zenbtc,103803.0,103803264,4007.02,-4.79784,2025-06-13 01:30:46.466240,61.241216738676336,21800.73067696615,11708.398306550076,6642752.2914285725,True,False,False,False,False,False,strong
big-time,bigtime,0.05357,102552046,28793300.0,-11.21949,2025-06-13 01:30:46.466240,48.148118984740336,10819.707825435617,8848.73966587228,6982054.917142858,False,True,False,False,True,True,strong
goatseus-maximus,goat,0.100703,100972083,39673918.0,-18.07291,2025-06-13 01:30:46.466240,48.14812744082892,8856.976908363396,8168.341023123931,11980030.44,False,True,False,False,True,True,strong
